param,rmse,success,exact_reconstruction_rate
1,1.0172330938912162,0.653,0.0
2,1.9923144810681843,0.5980000000000001,0.0
3,3.0284728040353657,0.5449999999999999,0.0
4,4.0569097491524,0.534,0.0
5,5.018269905248635,0.524,0.0
6,5.88476555707654,0.5189999999999999,0.0
7,7.026470300880341,0.5240000000000001,0.0
8,8.107696872266809,0.519,0.0
9,8.826125227677089,0.531,0.0
10,10.33554091091149,0.526,0.0
11,10.921085657563449,0.545,0.0
12,12.253230603911414,0.488,0.0
13,13.15200935407935,0.49000000000000005,0.0
14,13.642355754654446,0.508,0.0
15,15.071277104215431,0.503,0.0
16,16.008276413497548,0.533,0.0
17,17.15507378008811,0.538,0.0
18,17.932247470451223,0.515,0.0
19,18.670035673229354,0.5070000000000001,0.0
20,19.997843256218346,0.511,0.0
21,20.50527625395736,0.5349999999999999,0.0
22,21.677292956829564,0.5050000000000001,0.0
23,23.446658383781,0.49499999999999994,0.0
24,23.89500134079577,0.504,0.0
25,24.57592375985496,0.512,0.0
26,26.5710844193891,0.487,0.0
27,26.96602191903336,0.5210000000000001,0.0
28,27.99513218083623,0.48500000000000004,0.0
29,29.65073904769478,0.5269999999999999,0.0
30,30.204457964073946,0.506,0.0
31,30.258472965745803,0.5109999999999999,0.0
32,32.30182006431886,0.5170000000000001,0.0
33,32.887813737969736,0.5169999999999999,0.0
34,34.03854781762014,0.5,0.0
35,35.363491591441516,0.487,0.0
36,34.35721196251795,0.511,0.0
37,36.20006230035366,0.484,0.0
38,37.056706787512766,0.507,0.0
39,38.15593167900222,0.5189999999999999,0.0
40,40.48023678828217,0.48500000000000004,0.0
41,41.28805920025738,0.5199999999999999,0.0
42,41.22203925545894,0.502,0.0
43,42.931146641136216,0.525,0.0
44,43.40146789411559,0.48900000000000005,0.0
45,46.04687212865372,0.526,0.0
46,46.15763196688847,0.47000000000000003,0.0
47,46.929324438746384,0.48699999999999993,0.0
48,48.233571362132565,0.508,0.0
49,49.515609700677274,0.513,0.0
50,48.98284008874353,0.503,0.0
51,51.01397086319651,0.49000000000000005,0.0
52,50.900285057140486,0.531,0.0
53,52.61093021339941,0.5050000000000001,0.0
54,53.7214556765609,0.535,0.0
55,56.11821067166486,0.487,0.0
56,54.93630007052212,0.4779999999999999,0.0
57,53.99174408708139,0.49800000000000005,0.0
58,59.09042653493058,0.518,0.0
59,57.74060865016851,0.5210000000000001,0.0
60,60.42778647263249,0.49800000000000005,0.0
61,60.13214478129438,0.517,0.0
62,60.695303914261046,0.484,0.0
63,61.46169401589941,0.513,0.0
64,63.31586763249368,0.518,0.0
65,63.843988969147595,0.5050000000000001,0.0
66,65.26456916942574,0.49000000000000005,0.0
67,66.58920208262978,0.506,0.0
68,67.92825267800532,0.502,0.0
69,70.1801932843612,0.522,0.0
70,68.7292063143416,0.5170000000000001,0.0
71,70.37574482581415,0.508,0.0
72,71.49135766580147,0.5110000000000001,0.0
73,73.67306808923858,0.49400000000000005,0.0
74,71.52464859299648,0.49399999999999994,0.0
75,73.78903075615513,0.5029999999999999,0.0
76,75.437386774203,0.5,0.0
77,77.28559870514437,0.528,0.0
78,78.61371246687848,0.5179999999999999,0.0
79,76.12142541606111,0.506,0.0
80,80.58916446779108,0.485,0.0
81,77.59973671063457,0.51,0.0
82,81.4561689421016,0.521,0.0
83,82.64208327869054,0.507,0.0
84,85.94044456412631,0.46299999999999997,0.0
85,85.72904858360559,0.47300000000000003,0.0
86,83.96025911003005,0.49000000000000005,0.0
87,89.09212182983401,0.5,0.0
88,87.98074469734331,0.511,0.0
89,89.04082176084674,0.46399999999999997,0.0
90,89.89012249746834,0.5050000000000001,0.0
91,90.451581653949,0.506,0.0
92,92.81430841725042,0.502,0.0
93,93.89196514699174,0.506,0.0
94,94.35544270883989,0.5250000000000001,0.0
95,96.66739490773445,0.5159999999999999,0.0
96,93.98079577223461,0.52,0.0
97,95.36045817018544,0.506,0.0
98,98.4486902377748,0.4800000000000001,0.0
99,99.69569794395164,0.4959999999999999,0.0
100,101.06745490944584,0.49800000000000005,0.0
